country,avg_altitude
Afghanistan,4031.2727272727275
Albania,281.4
Algeria,1518.7727272727273
American Samoa,71.0
Angola,2446.56
Anguilla,127.0
Antarctica,1831.857142857143
Antigua and Barbuda,38.5
Argentina,1083.15625
Armenia,3124.4
Aruba,60.0
Australia,467.9311377245509
Austria,1464.25
Azerbaijan,1029.625
Bahamas,10.0
Bahrain,71.0
Bangladesh,40.5
Barbados,169.0
Belarus,385.1666666666667
Belgium,430.25
Belize,34.0
Benin,745.3333333333334
Bermuda,12.0
Bhutan,5599.0
Bolivia,4184.666666666667
Bosnia and Herzegovina,762.0
Botswana,3152.0625
Brazil,1126.219696969697
British Indian Ocean Territory,9.0
British Virgin Islands,11.0
Brunei,40.0
Bulgaria,625.7692307692307
Burkina Faso,1274.0
Burma,907.3720930232558
Burundi,4161.5
Cambodia,55.55555555555556
Cameroon,2314.0
Canada,847.146511627907
Cape Verde,266.2857142857143
Cayman Islands,6.333333333333333
Central African Republic,1568.5
Chad,1258.6666666666667
Chile,1113.8478260869565
China,1987.033195020747
Christmas Island,916.0
Cocos (Keeling) Islands,10.0
Colombia,1717.6666666666667
Comoros,58.5
Congo (Brazzaville),870.8
Congo (Kinshasa),1936.840909090909
Cook Islands,21.625
Costa Rica,513.9354838709677
Cote d'Ivoire,808.375
Croatia,599.8571428571429
Cuba,140.5
Cyprus,135.0
Czech Republic,1053.7083333333333
Denmark,76.35483870967742
Djibouti,121.33333333333333
Dominica,43.0
Dominican Republic,411.07142857142856
East Timor,673.6666666666666
Ecuador,2388.6944444444443
Egypt,546.125
El Salvador,801.6666666666666
Equatorial Guinea,57.0
Eritrea,2633.6666666666665
Estonia,59.666666666666664
Ethiopia,5416.689655172414
Falkland Islands,159.5
Faroe Islands,167.57142857142858
Fiji,57.0
Finland,340.2352941176471
France,655.9170506912442
French Guiana,226.16666666666666
French Polynesia,53.5
Gabon,803.2307692307693
Gambia,95.0
Georgia,1356.6
Germany,607.9036144578313
Ghana,632.5
Gibraltar,15.0
Greece,327.4909090909091
Greenland,93.03571428571429
Grenada,41.0
Guadeloupe,26.285714285714285
Guam,462.5
Guatemala,2540.2
Guernsey,313.0
Guinea,1280.0
Guinea-Bissau,64.66666666666667
Guyana,626.9230769230769
Haiti,109.66666666666667
Honduras,492.75
Hong Kong,61.666666666666664
Hungary,425.4375
Iceland,100.0
India,1010.3783783783783
Indonesia,567.3379310344827
Iran,2664.4268292682927
Iraq,581.375
Ireland,143.1764705882353
Isle of Man,52.0
Israel,379.5882352941176
Italy,315.7951807228916
Jamaica,24.833333333333332
Japan,200.10569105691056
Jersey,277.0
Johnston Atoll,7.0
Jordan,1881.8333333333333
Kazakhstan,824.4230769230769
Kenya,3381.6857142857143
Kiribati,4.611111111111111
Kuwait,362.3333333333333
Kyrgyzstan,3840.222222222222
Laos,1629.642857142857
Latvia,143.42857142857142
Lebanon,1060.0
Lesotho,5851.0
Liberia,25.333333333333332
Libya,866.6111111111111
Lithuania,272.3
Luxembourg,1234.0
Macau,20.0
Macedonia,1547.0
Madagascar,624.0
Malawi,2389.2
Malaysia,264.225
